Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt2080374,2015-05-06,2015-05-06,,Steve Jobs,https://www.imdb.com/title/tt2080374/,movie,7.2,122,2015,"Biography, Drama",129920,2015-09-05,Danny Boyle,,
2,tt1386697,2015-05-12,2015-05-12,,Suicide Squad,https://www.imdb.com/title/tt1386697/,movie,6.1,123,2016,"Action, Adventure, Fantasy, Sci-Fi",476186,2016-08-01,David Ayer,,
3,tt3072482,2016-03-08,2016-03-08,,Hardcore Henry,https://www.imdb.com/title/tt3072482/,movie,6.7,96,2015,"Action, Adventure, Sci-Fi, Thriller",69471,2015-09-12,Ilya Naishuller,,
4,tt3322312,2016-03-27,2016-03-27,,Daredevil,https://www.imdb.com/title/tt3322312/,tvSeries,8.7,54,2015,"Action, Crime, Drama, Sci-Fi, Thriller",289245,2015-04-02,,,
5,tt0974015,2016-03-27,2016-03-27,,Justice League,https://www.imdb.com/title/tt0974015/,movie,6.7,120,2017,"Action, Adventure, Fantasy, Sci-Fi",246743,2017-11-13,Zack Snyder,,
6,tt0264464,2016-03-27,2016-03-27,,Catch Me If You Can,https://www.imdb.com/title/tt0264464/,movie,8.1,141,2002,"Biography, Crime, Drama",653684,2002-12-16,Steven Spielberg,,
7,tt1211837,2016-03-27,2016-03-27,,Doctor Strange,https://www.imdb.com/title/tt1211837/,movie,7.5,115,2016,"Action, Adventure, Fantasy, Sci-Fi",413231,2016-10-13,Scott Derrickson,,
8,tt3385516,2016-03-27,2016-03-27,,X-Men: Apocalypse,https://www.imdb.com/title/tt3385516/,movie,7.0,144,2016,"Action, Adventure, Sci-Fi",317836,2016-05-09,Bryan Singer,,
9,tt3110958,2016-03-27,2016-03-27,,Now You See Me 2,https://www.imdb.com/title/tt3110958/,movie,6.5,129,2016,"Action, Adventure, Comedy, Crime, Mystery, Thriller",189217,2016-06-02,Jon M. Chu,,
10,tt2948356,2016-03-27,2016-03-27,,Zootopia,https://www.imdb.com/title/tt2948356/,movie,8.0,108,2016,"Animation, Adventure, Comedy, Crime, Family, Mystery",343505,2016-02-11,"Rich Moore, Jared Bush, Byron Howard",,
11,tt3460252,2016-03-27,2016-03-27,,The Hateful Eight,https://www.imdb.com/title/tt3460252/,movie,7.8,187,2015,"Crime, Drama, Mystery, Thriller, Western",389900,2015-12-07,Quentin Tarantino,,
12,tt4853102,2016-05-10,2016-05-10,,Batman: The Killing Joke,https://www.imdb.com/title/tt4853102/,movie,6.5,76,2016,"Animation, Action, Crime, Drama, Sci-Fi, Thriller",39200,2016-07-22,Sam Liu,,
13,tt1628841,2016-05-10,2016-05-10,,Independence Day: Resurgence,https://www.imdb.com/title/tt1628841/,movie,5.2,120,2016,"Action, Adventure, Sci-Fi",144549,2016-06-20,Roland Emmerich,,
14,tt3949660,2016-05-10,2016-05-10,,Teenage Mutant Ninja Turtles: Out of the Shadows,https://www.imdb.com/title/tt3949660/,movie,6.0,112,2016,"Action, Adventure, Comedy, Sci-Fi",70243,2016-05-22,Dave Green,,
15,tt4154756,2016-05-10,2016-05-10,,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,movie,8.9,149,2018,"Action, Adventure, Fantasy, Sci-Fi",273563,2018-04-23,"Anthony Russo, Joe Russo",,
16,tt3501632,2016-05-10,2016-05-10,,Thor: Ragnarok,https://www.imdb.com/title/tt3501632/,movie,7.9,130,2017,"Action, Adventure, Comedy, Fantasy, Sci-Fi",320404,2017-10-10,Taika Waititi,,
17,tt5095030,2016-05-10,2016-05-10,,Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/,movie,,,2018,"Action, Adventure, Sci-Fi",,2018-07-04,Peyton Reed,,
18,tt4154796,2016-05-10,2016-05-10,,Untitled Avengers Movie,https://www.imdb.com/title/tt4154796/,movie,,,2019,"Action, Sci-Fi",,2019-04-24,"Anthony Russo, Joe Russo",,
19,tt4154664,2016-05-10,2016-05-10,,Captain Marvel,https://www.imdb.com/title/tt4154664/,movie,,,2019,"Action, Adventure, Sci-Fi",,2019-03-06,"Anna Boden, Ryan Fleck",,
20,tt1825683,2016-05-10,2016-05-10,,Black Panther,https://www.imdb.com/title/tt1825683/,movie,7.6,134,2018,"Action, Adventure, Sci-Fi",271521,2018-01-29,Ryan Coogler,,
21,tt2250912,2016-05-10,2016-05-10,,Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/,movie,7.5,133,2017,"Action, Adventure, Sci-Fi",317393,2017-06-28,Jon Watts,,
22,tt4154858,2016-05-10,2016-05-10,,Inhumans,https://www.imdb.com/title/tt4154858/,tvMiniSeries,5.2,43,2017,"Action, Adventure, Sci-Fi",15697,2017-08-28,,,
23,tt3896198,2016-05-10,2016-05-10,,Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/,movie,7.7,136,2017,"Action, Adventure, Sci-Fi",372878,2017-04-10,James Gunn,,
24,tt5095352,2016-05-10,2016-05-10,,Untitled Marvel Project,https://www.imdb.com/title/tt5095352/,movie,,,2020,"Action, Sci-Fi",,2020-05-01,,,
25,tt5249144,2016-05-10,2016-05-10,,Allan Quartermain,https://www.imdb.com/title/tt5249144/,movie,,,,"Action, Adventure",,,,,
26,tt0365107,2016-05-10,2016-05-10,,Deathlok,https://www.imdb.com/title/tt0365107/,movie,,,,"Action, Adventure, Sci-Fi",,,,,
27,tt4132878,2016-05-10,2016-05-10,,Silver & Black,https://www.imdb.com/title/tt4132878/,movie,,,2019,Action,,2019-02-07,Gina Prince-Bythewood,,
28,tt5108870,2016-05-10,2016-05-10,,Untitled Marvel Project,https://www.imdb.com/title/tt5108870/,movie,,,2020,Action,,2020-07-31,,,
29,tt4438848,2016-05-15,2016-05-15,,Neighbors 2: Sorority Rising,https://www.imdb.com/title/tt4438848/,movie,5.7,92,2016,Comedy,91144,2016-04-26,Nicholas Stoller,,
30,tt0451279,2016-08-03,2016-08-03,,Wonder Woman,https://www.imdb.com/title/tt0451279/,movie,7.5,141,2017,"Action, Adventure, Fantasy, Sci-Fi, War",407500,2017-05-15,Patty Jenkins,,
31,tt5013056,2016-08-07,2016-08-07,,Dunkirk,https://www.imdb.com/title/tt5013056/,movie,8.0,106,2017,"Action, Drama, History, Thriller, War",384646,2017-07-13,Christopher Nolan,,
32,tt1691916,2017-03-02,2017-03-02,,Before I Fall,https://www.imdb.com/title/tt1691916/,movie,6.4,98,2017,"Drama, Mystery",31037,2017-01-21,Ry Russo-Young,,
